test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci Additive 1.2 1 0.0000000 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22 0.26 0.39 0.21 0.22
PowerTwoLoci Additive 1.2 1 0.0000500 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.26 0.08 0.11 0.14 0.25 0.08 0.11
PowerTwoLoci Additive 1.2 1 0.0001000 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04 0.05 0.09 0.01 0.04
PowerTwoLoci Additive 1.2 1 0.0001500 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02 0.04 0.13 0.01 0.02
PowerTwoLoci Additive 1.2 1 0.0002000 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06 0.06 0.14 0.05 0.06
PowerTwoLoci Additive 1.6 1 0.0000000 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.25 0.29 0.41 0.22 0.24
PowerTwoLoci Additive 1.6 1 0.0000500 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.25 0.09 0.14 0.18 0.24 0.09 0.12
PowerTwoLoci Additive 1.6 1 0.0001000 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.04 0.04 0.08 0.01 0.03
PowerTwoLoci Additive 1.6 1 0.0001500 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.04 0.05 0.14 0 0.03
PowerTwoLoci Additive 1.6 1 0.0002000 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06 0.08 0.14 0.05 0.06
