MAFSample2 mixProp haplotypeLength Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDTP_minFreq10.00000_01 Training_mTDTP_minFreq10.00000_05 Training_mTDTP_minFreq10.00000_001 Training_mTDTP_minFreq10.00000_005 Training_mTDTP_indep_01 Training_mTDTP_indep_05 Training_mTDTP_indep_001 Training_mTDTP_indep_005 Training_mTDTP_indep_minFreq10.00000_01 Training_mTDTP_indep_minFreq10.00000_05 Training_mTDTP_indep_minFreq10.00000_001 Training_mTDTP_indep_minFreq10.00000_005 Training_ScoreTDTP_01 Training_ScoreTDTP_05 Training_ScoreTDTP_001 Training_ScoreTDTP_005 
0.1 0.5 1	0.011	0.056	0.001	0.008	0.011	0.055	0.001	0.008	0.011	0.056	0.001	0.008	0.011	0.055	0.001	0.008	0.011	0.056	0.001	0.008	0.011	0.055	0.001	0.008	0.004	0.017	0	0.001	0.004	0.017	0	0.001	0	0.008	0	0
0.3 0.5 1	0.011	0.056	0.001	0.008	0.011	0.055	0.001	0.008	0.011	0.056	0.001	0.008	0.011	0.055	0.001	0.008	0.011	0.056	0.001	0.008	0.011	0.055	0.001	0.008	0.004	0.014	0	0.001	0.004	0.014	0	0.001	0	0.009	0	0
0.5 0.5 1	0.008	0.046	0	0.003	0.008	0.046	0	0.003	0.008	0.046	0	0.003	0.008	0.046	0	0.003	0.008	0.046	0	0.003	0.008	0.046	0	0.003	0.001	0.01	0	0	0.001	0.01	0	0	0	0.005	0	0
0.1 0.75 1	0.01	0.059	0.001	0.007	0.01	0.059	0.001	0.007	0.01	0.059	0.001	0.007	0.01	0.059	0.001	0.007	0.01	0.059	0.001	0.007	0.01	0.059	0.001	0.007	0.002	0.012	0	0.001	0.002	0.012	0	0.001	0	0.007	0	0
0.3 0.75 1	0.011	0.061	0.001	0.007	0.011	0.061	0.001	0.007	0.011	0.061	0.001	0.007	0.011	0.061	0.001	0.007	0.011	0.061	0.001	0.007	0.011	0.061	0.001	0.007	0.002	0.014	0	0.001	0.002	0.014	0	0.001	0	0.007	0	0
0.5 0.75 1	0.011	0.048	0.002	0.005	0.011	0.048	0.002	0.005	0.011	0.048	0.002	0.005	0.011	0.048	0.002	0.005	0.011	0.048	0.002	0.005	0.011	0.048	0.002	0.005	0.002	0.018	0.001	0.002	0.002	0.018	0.001	0.002	0.001	0.005	0	0
0.1 0.833 1	0.01	0.054	0.001	0.006	0.01	0.054	0.001	0.006	0.01	0.054	0.001	0.006	0.01	0.054	0.001	0.006	0.01	0.054	0.001	0.006	0.01	0.054	0.001	0.006	0.002	0.013	0	0.001	0.002	0.013	0	0.001	0	0.007	0	0
0.3 0.833 1	0.01	0.048	0.001	0.006	0.01	0.048	0.001	0.006	0.01	0.048	0.001	0.006	0.01	0.048	0.001	0.006	0.01	0.048	0.001	0.006	0.01	0.048	0.001	0.006	0.002	0.013	0	0.001	0.002	0.013	0	0.001	0	0.007	0	0
0.5 0.833 1	0.01	0.049	0.002	0.005	0.01	0.049	0.002	0.005	0.01	0.049	0.002	0.005	0.01	0.049	0.002	0.005	0.01	0.049	0.002	0.005	0.01	0.049	0.002	0.005	0.004	0.015	0	0.002	0.004	0.015	0	0.002	0	0.006	0	0
0.1 0.5 2	0.008	0.057	0.002	0.006	0.009	0.057	0.002	0.007	0.01	0.049	0	0.004	0.016	0.057	0	0.006	0.012	0.063	0.003	0.008	0.012	0.06	0.003	0.008	0.008	0.027	0.001	0.007	0.006	0.024	0.001	0.005	0.001	0.01	0	0
0.3 0.5 2	0.008	0.056	0.003	0.007	0.009	0.055	0.003	0.007	0.012	0.053	0	0.006	0.017	0.06	0	0.008	0.01	0.061	0.004	0.007	0.01	0.059	0.004	0.007	0.007	0.023	0.002	0.007	0.006	0.02	0.002	0.006	0.002	0.009	0	0
0.5 0.5 2	0.013	0.054	0.001	0.008	0.013	0.054	0.001	0.008	0.01	0.052	0	0.005	0.011	0.058	0	0.005	0.014	0.059	0.002	0.008	0.014	0.057	0.002	0.008	0.009	0.03	0	0.004	0.009	0.029	0	0.004	0	0.012	0	0
0.1 0.75 2	0.015	0.059	0.001	0.006	0.015	0.059	0.001	0.005	0.01	0.056	0.001	0.005	0.011	0.07	0.001	0.006	0.019	0.063	0.002	0.01	0.017	0.061	0.002	0.01	0.008	0.032	0.001	0.003	0.007	0.032	0.001	0.003	0.002	0.009	0	0
0.3 0.75 2	0.013	0.052	0.003	0.008	0.013	0.051	0.003	0.007	0.012	0.05	0.001	0.005	0.013	0.06	0.001	0.006	0.018	0.059	0.004	0.009	0.016	0.058	0.004	0.009	0.009	0.029	0.002	0.005	0.008	0.029	0.002	0.005	0.003	0.01	0	0
0.5 0.75 2	0.011	0.05	0.003	0.005	0.011	0.052	0.003	0.005	0.009	0.052	0.002	0.005	0.009	0.065	0.003	0.006	0.016	0.067	0.003	0.006	0.015	0.063	0.003	0.006	0.005	0.036	0.002	0.003	0.005	0.035	0.002	0.003	0.002	0.008	0	0.001
0.1 0.833 2	0.016	0.065	0.001	0.007	0.016	0.065	0.001	0.007	0.01	0.054	0	0.007	0.011	0.063	0.001	0.008	0.017	0.067	0.002	0.009	0.016	0.066	0.002	0.009	0.008	0.034	0	0.004	0.008	0.034	0	0.003	0	0.012	0	0
0.3 0.833 2	0.013	0.063	0.001	0.005	0.013	0.064	0.001	0.005	0.01	0.053	0	0.007	0.011	0.065	0.001	0.009	0.018	0.074	0.002	0.008	0.016	0.071	0.002	0.008	0.007	0.036	0	0.003	0.007	0.034	0	0.002	0	0.01	0	0
0.5 0.833 2	0.012	0.053	0.001	0.006	0.012	0.055	0	0.006	0.008	0.046	0	0.004	0.01	0.062	0	0.006	0.017	0.066	0.002	0.009	0.016	0.065	0.002	0.009	0.009	0.036	0.002	0.005	0.009	0.033	0	0.005	0.001	0.012	0	0
